customer_age,order_amount,previous_orders,previous_returns,previous_refunds,delivery_days,discount_percentage,customer_account_age_days,orders_last_30_days,returns_last_90_days,return_rate,refund_rate,payment_method,product_category,return_risk
49,1424.36,6,0,0,2,7.37,1007,2,0,0.0591,0.023,UPI,Fashion,0
36,2001.68,6,1,1,4,29.38,978,6,3,0.2681,0.166,Cash on Delivery,Accessories,1
34,1716.26,6,1,0,4,11.19,1421,1,0,0.1469,0.0318,UPI,Grocery,0
27,1501.44,8,0,0,6,11.85,1055,6,2,0.0949,0.0168,UPI,Electronics,0
35,2337.69,7,1,0,3,8.45,125,2,2,0.2435,0.0432,UPI,Home,0
29,1704.64,5,0,0,3,9.51,688,3,0,0.0576,0.0404,UPI,Home,0
28,1406.01,9,0,0,4,16.92,655,0,2,0.1853,0.0399,UPI,Fashion,0
31,1020.59,6,3,2,3,19.47,191,3,3,0.5209,0.3202,Cash on Delivery,Beauty,1
38,947.32,7,0,0,3,24.78,430,2,0,0.0609,0.0433,UPI,Accessories,0
20,2639.74,2,0,0,3,5.25,317,3,0,0.1139,0.0911,Credit Card,Beauty,0
21,2466.63,16,0,0,4,6.71,1113,1,1,0.0865,0.007,Debit Card,Electronics,1
35,2552.64,3,0,0,6,17.97,757,2,2,0.2113,0.0611,UPI,Beauty,1
37,2232.04,3,1,1,5,20.12,490,10,2,0.3302,0.3218,Credit Card,Beauty,1
34,1436.25,6,0,0,3,7.99,794,3,1,0.1035,0.0102,Cash on Delivery,Fashion,0
34,1079.81,6,0,0,3,20.82,391,2,1,0.1136,0.0576,UPI,Home,0
37,1052.78,9,0,0,5,6.11,291,3,2,0.0908,0.0269,UPI,Fashion,0
51,2355.96,7,0,0,3,12.86,1287,4,1,0.1139,0.0426,Net Banking,Electronics,0
35,987.03,4,0,0,3,14.14,1166,3,1,0.1175,0.0342,Net Banking,Accessories,0
39,2309.57,5,0,0,5,16.77,1183,2,0,0.063,0.0325,UPI,Home,0
25,1083.39,11,0,0,3,13.92,1140,2,0,0.0378,0.0424,Cash on Delivery,Accessories,0
41,2747.24,8,0,0,4,10.18,1140,1,0,0.0599,0.0431,Debit Card,Home,0
29,1062.97,7,0,0,3,15.37,1071,1,1,0.1003,0.0131,Cash on Delivery,Home,0
35,3681.14,6,0,0,2,6.82,564,3,1,0.0267,0.0768,Debit Card,Accessories,1
33,1105.1,10,0,0,3,6.93,1131,2,0,0.0555,0.0228,Credit Card,Electronics,0
43,1034.67,12,1,0,2,16.92,864,5,1,0.1484,0.0,Cash on Delivery,Electronics,0
22,1041.33,7,0,0,1,9.27,469,1,5,0.3625,0.0356,UPI,Accessories,0
18,3308.42,5,2,0,4,18.12,803,4,1,0.3389,0.0406,Cash on Delivery,Fashion,1
32,2054.82,5,0,0,4,11.46,1526,4,0,0.1028,0.0661,Debit Card,Fashion,0
38,1144.85,7,0,0,4,4.5,947,2,0,0.0067,0.0182,Credit Card,Home,0
35,1390.4,8,0,0,2,23.26,1014,3,0,0.0796,0.0283,Net Banking,Home,0
45,737.99,13,2,0,5,18.53,411,3,1,0.1608,0.047,Net Banking,Fashion,0
38,2340.0,5,3,0,4,14.65,487,4,0,0.4465,0.0566,UPI,Electronics,1
29,2360.78,7,1,0,1,2.3,865,1,1,0.2146,0.0214,Credit Card,Electronics,1
32,2268.16,10,3,3,6,35.99,192,6,1,0.2729,0.2798,Cash on Delivery,Electronics,1
33,592.7,2,0,0,5,24.2,134,2,2,0.1981,0.1039,UPI,Fashion,1
21,2640.0,4,0,0,4,6.47,366,7,1,0.0653,0.055,Cash on Delivery,Grocery,0
18,2888.38,13,0,0,3,0.05,733,0,2,0.1867,0.0417,UPI,Electronics,0
32,1135.47,4,0,0,3,13.68,670,4,0,0.0647,0.0421,Credit Card,Accessories,0
43,1235.91,6,1,0,4,14.81,415,2,0,0.1704,0.0096,Credit Card,Fashion,1
30,1750.74,11,0,0,2,27.54,480,2,1,0.0449,0.0572,Cash on Delivery,Fashion,1
34,811.43,11,0,0,2,13.5,302,1,2,0.1753,0.037,UPI,Fashion,0
38,878.05,8,0,0,4,29.22,591,2,0,0.0332,0.0126,Credit Card,Fashion,0
25,1261.88,10,1,1,1,10.24,736,4,0,0.127,0.125,Cash on Delivery,Fashion,0
25,609.9,11,3,2,2,13.13,323,6,1,0.2308,0.1951,Credit Card,Fashion,1
40,1687.27,7,1,0,3,2.09,768,4,1,0.1812,0.0344,Credit Card,Grocery,0
49,653.25,14,7,0,5,6.73,1499,5,2,0.4551,0.0,Credit Card,Home,0
32,613.1,5,0,0,2,16.82,191,1,0,0.0631,0.0635,UPI,Home,0
24,6023.98,4,0,0,2,32.98,1955,3,0,0.0315,0.0875,UPI,Fashion,0
33,1835.46,11,0,0,6,10.45,1141,2,0,0.0309,0.0301,Debit Card,Electronics,0
18,3101.72,8,0,0,2,2.0,838,3,0,0.0,0.0282,UPI,Electronics,0
