threshold,precision,recall,f1,fp,fn,tp,tn,business_cost,meets_precision_requirement
0.1,0.24711111111111111,1.0,0.39629365645046327,1694,0,556,0,169400,False
0.11,0.24711111111111111,1.0,0.39629365645046327,1694,0,556,0,169400,False
0.12,0.24711111111111111,1.0,0.39629365645046327,1694,0,556,0,169400,False
0.13,0.24711111111111111,1.0,0.39629365645046327,1694,0,556,0,169400,False
0.14,0.24711111111111111,1.0,0.39629365645046327,1694,0,556,0,169400,False
0.15,0.24711111111111111,1.0,0.39629365645046327,1694,0,556,0,169400,False
0.16,0.24722098710538018,1.0,0.3964349376114082,1693,0,556,1,169300,False
0.17,0.2471059661620659,0.9982014388489209,0.3961456102783726,1691,1,555,3,170100,False
0.18,0.24732620320855614,0.9982014388489209,0.3964285714285714,1689,1,555,5,169900,False
0.19,0.2476489028213166,0.9946043165467626,0.3965579060595195,1680,3,553,14,171000,False
0.2,0.25022665457842247,0.9928057553956835,0.3997103548153512,1654,4,552,40,169400,False
0.21,0.2518450184501845,0.9820143884892086,0.4008810572687225,1622,10,546,72,172200,False
0.22,0.2571157495256167,0.9748201438848921,0.4069069069069069,1566,14,542,128,170600,False
0.23,0.2620689655172414,0.9568345323741008,0.411446249033256,1498,24,532,196,173800,False
0.24,0.2664609053497942,0.9316546762589928,0.4144,1426,38,518,268,180600,False
0.25,0.27522935779816515,0.9172661870503597,0.42341220423412207,1343,46,510,351,180300,False
0.26,0.2863636363636364,0.9064748201438849,0.43523316062176165,1256,52,504,438,177600,False
0.27,0.2956730769230769,0.8848920863309353,0.44324324324324327,1172,64,492,522,181200,False
0.28,0.3094170403587444,0.8687050359712231,0.45630609352857815,1078,73,483,616,180800,False
0.29,0.3255172413793103,0.8489208633093526,0.47058823529411764,978,84,472,716,181800,False
0.3,0.3398203592814371,0.8165467625899281,0.4799154334038055,882,102,454,812,190200,False
0.31,0.3521462639109698,0.7967625899280576,0.4884233737596472,815,113,443,879,194500,False
0.32,0.3642611683848797,0.762589928057554,0.4930232558139535,740,132,424,954,206000,False
0.33,0.37101185050136737,0.7320143884892086,0.4924379915305505,690,149,407,1004,218000,False
0.34,0.383060635226179,0.7158273381294964,0.4990595611285266,641,158,398,1053,222100,False
0.35,0.3981288981288981,0.6888489208633094,0.5046113306982872,579,173,383,1115,230900,False
0.36,0.40904079382579933,0.6672661870503597,0.507177033492823,536,185,371,1158,238600,False
0.37,0.4208675263774912,0.64568345323741,0.5095812633073101,494,197,359,1200,246400,False
0.38,0.4360248447204969,0.6312949640287769,0.5157972079353417,454,205,351,1240,250400,False
0.39,0.45098039215686275,0.6205035971223022,0.522331566994701,420,211,345,1274,253000,False
0.4,0.46216216216216216,0.6151079136690647,0.5277777777777778,398,214,342,1296,253800,False
0.41,0.4748603351955307,0.6115107913669064,0.5345911949685535,376,216,340,1318,253600,False
0.42,0.4897959183673469,0.60431654676259,0.5410628019323671,350,220,336,1344,255000,False
0.43,0.5007656967840735,0.5881294964028777,0.5409429280397022,326,229,327,1368,261600,True
0.44,0.5126984126984127,0.5809352517985612,0.5446880269814502,307,233,323,1387,263700,True
0.45,0.5248344370860927,0.5701438848920863,0.5465517241379311,287,239,317,1407,267700,True
0.46,0.5432525951557093,0.564748201438849,0.5537918871252204,264,242,314,1430,268400,True
0.47,0.5508021390374331,0.5557553956834532,0.5532676812891674,252,247,309,1442,272200,True
0.48,0.5586080586080586,0.5485611510791367,0.5535390199637024,241,251,305,1453,275100,True
0.49,0.5612052730696798,0.5359712230215827,0.5482980680772769,233,258,298,1461,281300,True
0.5,0.5728155339805825,0.5305755395683454,0.5508870214752568,220,261,295,1474,283000,True
0.51,0.5831663326653307,0.5233812949640287,0.5516587677725119,208,265,291,1486,285800,True
0.52,0.5945945945945946,0.5143884892086331,0.5515911282545806,195,270,286,1499,289500,True
0.53,0.6043010752688172,0.5053956834532374,0.5504407443682664,184,275,281,1510,293400,True
0.54,0.6155555555555555,0.4982014388489209,0.5506958250497018,173,279,277,1521,296300,True
0.55,0.6232876712328768,0.4910071942446043,0.5492957746478874,165,283,273,1529,299500,True
0.56,0.634032634032634,0.4892086330935252,0.5522842639593909,157,284,272,1537,299700,True
0.57,0.6426858513189448,0.48201438848920863,0.5508735868448099,149,288,268,1545,302900,True
0.58,0.6486486486486487,0.4748201438848921,0.5482866043613707,143,292,264,1551,306300,True
0.59,0.656641604010025,0.4712230215827338,0.5486910994764398,137,294,262,1557,307700,True
0.6,0.6572164948453608,0.45863309352517984,0.5402542372881356,133,301,255,1561,314300,True
0.61,0.6675461741424802,0.4550359712230216,0.5411764705882353,126,303,253,1568,315600,True
0.62,0.680327868852459,0.447841726618705,0.5401301518438177,117,307,249,1577,318700,True
0.63,0.6880222841225627,0.4442446043165468,0.5398907103825137,112,309,247,1582,320200,True
0.64,0.6929824561403509,0.4262589928057554,0.5278396436525612,105,319,237,1589,329500,True
0.65,0.6955223880597015,0.41906474820143885,0.5230078563411896,102,323,233,1592,333200,True
0.66,0.6975308641975309,0.4064748201438849,0.5136363636363637,98,330,226,1596,339800,True
0.67,0.7003154574132492,0.39928057553956836,0.5085910652920962,95,334,222,1599,343500,True
0.68,0.7060702875399361,0.39748201438848924,0.5086306098964327,92,335,221,1602,344200,True
0.69,0.711038961038961,0.39388489208633093,0.5069444444444444,89,337,219,1605,345900,True
0.7,0.726027397260274,0.381294964028777,0.5,80,344,212,1614,352000,True
0.71,0.7317073170731707,0.3776978417266187,0.498220640569395,77,346,210,1617,353700,True
0.72,0.7428571428571429,0.37410071942446044,0.49760765550239233,72,348,208,1622,355200,True
0.73,0.7391304347826086,0.3669064748201439,0.49038461538461536,72,352,204,1622,359200,True
0.74,0.7518796992481203,0.3597122302158273,0.48661800486618007,66,356,200,1628,362600,True
